r,b,swpd,livre,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time
1,0,0,958040,110296,5277288,0,0,20240,0,638,1506,22,0,73,4,0,21:21:05 2019-05-28
0,1,0,915908,110296,5319388,0,0,20996,0,638,1351,22,1,74,3,0,21:21:06 2019-05-28
1,0,0,874024,110296,5362284,0,0,20788,0,695,1410,23,1,73,2,0,21:21:07 2019-05-28
1,0,0,833720,110304,5402108,0,0,19676,20,639,1573,22,1,73,6,0,21:21:08 2019-05-28
1,0,0,791464,110304,5443976,0,0,20808,0,665,1748,22,2,73,3,0,21:21:09 2019-05-28
2,0,0,749844,110304,5485312,0,0,20244,0,682,1899,22,1,74,3,0,21:21:10 2019-05-28
1,0,0,706968,110304,5528060,0,0,20620,0,655,1742,23,1,74,3,0,21:21:11 2019-05-28
1,0,0,665332,110304,5569456,0,0,20248,0,643,1638,22,0,74,3,0,21:21:12 2019-05-28
1,0,0,624068,110312,5610412,0,0,20924,20,643,1685,22,1,74,4,0,21:21:13 2019-05-28
1,0,0,580820,110312,5653248,0,0,20676,0,637,1382,22,1,75,3,0,21:21:14 2019-05-28
1,0,0,538936,110312,5695144,0,0,20908,0,633,1310,22,1,74,3,0,21:21:15 2019-05-28
1,0,0,521232,110312,5736488,0,0,20240,0,798,1540,25,1,72,3,0,21:21:16 2019-05-28
1,0,0,479116,110312,5778648,0,0,20952,0,650,1256,23,1,74,3,0,21:21:17 2019-05-28
1,0,0,437604,110320,5820000,0,0,20248,24,669,2006,22,0,74,4,0,21:21:18 2019-05-28
1,0,0,394480,110320,5863132,0,0,21108,0,652,1568,23,0,74,2,0,21:21:19 2019-05-28
1,0,0,352844,110320,5904612,0,0,20240,0,670,1745,21,1,74,4,0,21:21:20 2019-05-28
1,0,0,310960,110320,5946692,0,0,21012,0,632,1522,22,1,75,3,0,21:21:21 2019-05-28
1,0,0,268828,110320,5988604,0,0,20772,0,702,1676,22,1,73,3,0,21:21:22 2019-05-28
1,0,0,229068,110328,6028344,0,0,19708,20,613,1378,21,1,74,5,0,21:21:23 2019-05-28
1,0,0,186564,110328,6070712,0,0,20236,0,646,1861,22,1,74,3,0,21:21:24 2019-05-28
1,1,0,170708,110336,6085936,0,0,7784,202876,417,1133,8,2,58,32,0,21:21:25 2019-05-28
0,2,0,158028,110336,6098060,0,0,6024,32768,418,1636,7,1,56,36,0,21:21:26 2019-05-28
1,1,0,145004,110336,6111068,0,0,6432,32768,377,976,7,1,64,28,0,21:21:27 2019-05-28
