sda             76,00    0,00  20244,00      0,00     0,00     0,00   0,00   0,00    5,05    0,00   0,38   266,37     0,00   3,47  26,40
sda             78,00    0,00  20672,00      0,00     0,00     0,00   0,00   0,00    4,67    0,00   0,36   265,03     0,00   3,13  24,40
sda             76,00    0,00  20244,00      0,00     0,00     0,00   0,00   0,00    4,95    0,00   0,38   266,37     0,00   3,26  24,80
sda             76,00    2,00  20600,00     20,00     1,00     3,00   1,30  60,00    5,37   16,00   0,44   271,05    10,00   4,00  31,20
sda             79,00    0,00  21264,00      0,00     0,00     0,00   0,00   0,00    4,66    0,00   0,36   269,16     0,00   3,14  24,80
sda             77,00    0,00  20236,00      0,00     0,00     0,00   0,00   0,00    5,04    0,00   0,39   262,81     0,00   3,43  26,40
sda             77,00    0,00  20240,00      0,00     0,00     0,00   0,00   0,00    5,04    0,00   0,39   262,86     0,00   3,27  25,20
sda             81,00    0,00  21112,00      0,00     0,00     0,00   0,00   0,00    3,75    0,00   0,30   260,64     0,00   2,72  22,00
sda             76,00    2,00  20244,00     20,00     1,00     3,00   1,30  60,00    5,26   10,00   0,42   266,37    10,00   3,74  29,20
sda             76,00    0,00  20240,00      0,00     0,00     0,00   0,00   0,00    4,89    0,00   0,37   266,32     0,00   3,32  25,20
sda             60,00   15,00  15952,00  14340,00     1,00     2,00   1,64  11,76    5,20  110,93  16,45   265,87   956,00   5,87  44,00
sda             17,00   48,00   4292,00  48384,00     0,00     6,00   0,00  11,11  117,88  660,17 113,48   252,47  1008,00  15,38 100,00
sda             23,00   45,00   6240,00  45824,00     0,00     2,00   0,00   4,26   80,70 1338,13 141,00   271,30  1018,31  14,71 100,00
sda             16,00   48,00   3884,00  47168,00     0,00    18,00   0,00  27,27   76,25 2060,42 144,10   242,75   982,67  15,62 100,00
sda             23,00   42,00   6240,00  43008,00     0,00     1,00   0,00   2,33   71,83 3123,24 144,31   271,30  1024,00  15,38 100,00
sda             22,00   44,00   5572,00  45056,00     0,00     3,00   0,00   6,38   72,55 3162,45 141,07   253,27  1024,00  15,15 100,00
sda             24,00   46,00   6184,00  47104,00     0,00     2,00   0,00   4,17   68,00 3164,70 147,42   257,67  1024,00  14,29 100,00
sda             21,00   41,00   5416,00  42240,00     0,00     3,00   0,00   6,82   75,05 3294,05 140,73   257,90  1030,24  16,13 100,00
sda             21,00   47,00   5884,00  47872,00     0,00     1,00   0,00   2,08   75,24 3204,94 147,81   280,19  1018,55  14,71 100,00
sda             24,00   43,00   6136,00  44288,00     0,00     1,00   0,00   2,27   62,33 3266,88 144,62   255,67  1029,95  14,93 100,00
sda             27,00   40,00   7004,00  40960,00     0,00     3,00   0,00   6,98   68,59 3302,80 144,58   259,41  1024,00  14,93 100,00
sda             23,00   45,00   5932,00  45824,00     0,00     2,00   0,00   4,26   70,26 3307,11 146,69   257,91  1018,31  14,71 100,00
sda             21,00   44,00   5708,00  45056,00     0,00     0,00   0,00   0,00   73,90 3326,91 121,80   271,81  1024,00  15,38 100,00
sda             20,00   41,00   5584,00  42240,00     0,00     0,00   0,00   0,00   73,60 3316,78  80,90   279,20  1030,24  16,39 100,00
sda             27,00   42,00   6908,00  43008,00     0,00     0,00   0,00   0,00   70,96 3305,24  38,22   255,85  1024,00  14,49 100,00
sda             52,00   19,00  14408,00  13248,00     3,00    12,00   5,45  38,71   16,00 2944,42   3,58   277,08   697,26   8,28  58,80
sda             76,00    0,00  20240,00      0,00     0,00     0,00   0,00   0,00    5,05    0,00   0,38   266,32     0,00   3,47  26,40
sda             76,00    0,00  20244,00      0,00     0,00     0,00   0,00   0,00    5,11    0,00   0,41   266,37     0,00   3,53  26,80
sda             78,00    0,00  21012,00      0,00     0,00     0,00   0,00   0,00    5,54    0,00   0,41   269,38     0,00   3,54  27,60
sda             80,00    0,00  21156,00      0,00     0,00     0,00   0,00   0,00    4,00    0,00   0,32   264,45     0,00   2,85  22,80
sda             75,00    2,00  20240,00     52,00     1,00    11,00   1,32  84,62    5,12   12,00   0,41   269,87    26,00   3,58  27,60
